src,dst,weight
O,Ru,4.385075974262e+00
O,Sm,4.140041925820e+00
O,Ta,4.567041167721e+00
O,Tb,3.738979557736e+00
O,Tc,4.371421846016e+00
O,Tl,4.240033983591e+00
O,U,3.798523852321e+00
O,Zr,5.718186124167e+00
Pa,Xe,4.550173938675e+00
Pd,S,4.109665551366e+00
Pd,Si,3.767069463336e+00
Pd,Xe,5.274871262911e+00
Pd,Zn,3.677257407604e+00
Pu,Xe,4.473742081103e+00
Ra,Xe,3.797791278927e+00
Rf,Sg,1.588343098229e+01
Rf,W,1.733139230890e+01
Rf,Xe,3.771352167562e+00
S,Th,5.254333895415e+00
S,Ti,3.300717905171e+00
S,V,3.256648554307e+00
Sc,Th,5.296387144675e+00
Sg,W,1.749978162606e+01
Sg,Xe,3.285650488123e+00
Th,Ti,1.224270951541e+01
Th,V,1.120238083240e+01
U,Xe,4.810101873269e+00
