n_bands,metric,is_strict_local_max,is_plateau,plateau_span,eps
30,silhouette_best,True,False,1,0.004278170214470844
31,silhouette_best,False,True,3,0.004278170214470844
32,silhouette_best,False,False,1,0.004278170214470844
33,silhouette_best,False,False,1,0.004278170214470844
34,silhouette_best,False,True,5,0.004278170214470844
35,silhouette_best,False,True,5,0.004278170214470844
36,silhouette_best,True,True,5,0.004278170214470844
37,silhouette_best,False,False,1,0.004278170214470844
38,silhouette_best,True,False,1,0.004278170214470844
39,silhouette_best,False,False,1,0.004278170214470844
40,silhouette_best,False,False,1,0.004278170214470844
41,silhouette_best,False,False,1,0.004278170214470844
42,silhouette_best,False,True,4,0.004278170214470844
43,silhouette_best,True,True,5,0.004278170214470844
44,silhouette_best,False,False,1,0.004278170214470844
45,silhouette_best,False,False,1,0.004278170214470844
46,silhouette_best,True,True,3,0.004278170214470844
47,silhouette_best,False,False,1,0.004278170214470844
48,silhouette_best,True,False,1,0.004278170214470844
49,silhouette_best,False,True,3,0.004278170214470844
50,silhouette_best,False,False,1,0.004278170214470844
51,silhouette_best,False,False,1,0.004278170214470844
52,silhouette_best,True,True,4,0.004278170214470844
53,silhouette_best,False,True,4,0.004278170214470844
54,silhouette_best,False,True,5,0.004278170214470844
55,silhouette_best,False,False,1,0.004278170214470844
56,silhouette_best,False,False,1,0.004278170214470844
57,silhouette_best,False,False,1,0.004278170214470844
58,silhouette_best,True,False,1,0.004278170214470844
59,silhouette_best,False,True,3,0.004278170214470844
60,silhouette_best,False,False,1,0.004278170214470844
61,silhouette_best,False,False,1,0.004278170214470844
62,silhouette_best,True,True,5,0.004278170214470844
63,silhouette_best,False,True,4,0.004278170214470844
64,silhouette_best,False,False,1,0.004278170214470844
65,silhouette_best,False,False,1,0.004278170214470844
66,silhouette_best,True,True,3,0.004278170214470844
67,silhouette_best,False,False,1,0.004278170214470844
68,silhouette_best,False,False,1,0.004278170214470844
69,silhouette_best,True,False,1,0.004278170214470844
70,silhouette_best,False,False,1,0.004278170214470844
71,silhouette_best,False,False,1,0.004278170214470844
72,silhouette_best,True,False,1,0.004278170214470844
73,silhouette_best,False,False,1,0.004278170214470844
74,silhouette_best,False,False,1,0.004278170214470844
75,silhouette_best,False,True,4,0.004278170214470844
76,silhouette_best,False,True,4,0.004278170214470844
77,silhouette_best,False,False,1,0.004278170214470844
78,silhouette_best,True,False,1,0.004278170214470844
79,silhouette_best,False,True,3,0.004278170214470844
9,Z_R2,False,False,1,0.00607690215999011
10,Z_R2,False,False,1,0.00607690215999011
11,Z_R2,True,False,1,0.00607690215999011
12,Z_R2,False,False,1,0.00607690215999011
13,Z_R2,True,False,1,0.00607690215999011
14,Z_R2,False,False,1,0.00607690215999011
15,Z_R2,False,False,1,0.00607690215999011
16,Z_R2,False,False,1,0.00607690215999011
17,Z_R2,True,False,1,0.00607690215999011
18,Z_R2,False,True,3,0.00607690215999011
19,Z_R2,False,False,1,0.00607690215999011
20,Z_R2,True,False,1,0.00607690215999011
