A_symbol,B_symbol,y_exists,kernel_cosine,kernel_dot,kernel_rbf,kernel_laplacian,kernel_poly2
P,Tc,0,-1.783695922042e-01,-8.781115615584e-01,7.251583045574e-01,5.672864478279e-01,9.530977533669e-01
P,Te,0,5.661769024711e-01,2.197430328869e+00,9.130044834703e-01,7.395701982109e-01,1.122307190932e+00
P,Th,1,-1.258031683431e-01,-2.052043195924e+00,1.255598269989e-01,2.368148584436e-01,8.921546273043e-01
P,Ti,1,-4.003909321158e-02,-2.622483787309e-01,6.580205287990e-01,5.236506267263e-01,9.858746487846e-01
P,Tl,0,7.702588158210e-02,3.422095080557e-01,7.993397780978e-01,6.229719341156e-01,1.018583353501e+00
P,Tm,1,-1.602648011279e-01,-1.136043215402e+00,5.962458568298e-01,4.871914192303e-01,9.395349863021e-01
P,U,1,-2.404689020379e-01,-2.247931601768e+00,4.331050287682e-01,4.006151348170e-01,8.821813425533e-01
P,V,1,-9.836016097837e-02,-6.339845556535e-01,6.510667617283e-01,5.193952430110e-01,9.660241631106e-01
P,W,1,-1.832508161918e-01,-2.233263610187e+00,2.827348034670e-01,3.249960892845e-01,8.829261937171e-01
P,Xe,0,5.884877194754e-01,5.274367715641e+00,6.832970685957e-01,5.395009893400e-01,1.305421596609e+00
P,Y,1,-2.348280129224e-01,-7.102671662156e+00,1.025849291386e-03,7.255565838095e-02,6.529220173417e-01
P,Yb,1,5.067952655232e-02,2.088918546405e-01,8.089945372585e-01,6.310346403569e-01,1.011323325822e+00
P,Zn,0,7.008051516252e-01,3.989291310298e+00,8.910551897417e-01,7.120333332261e-01,1.227262236757e+00
P,Zr,1,-2.471553841731e-01,-1.420963149587e+00,6.620993867548e-01,5.261669358270e-01,9.246660797685e-01
Pa,Pb,1,-1.381619539919e-01,-1.259988164273e+00,4.601487541714e-01,4.143578800074e-01,9.330521884718e-01
Pa,Po,1,-5.726337314909e-02,-6.754288559225e-01,4.440528393759e-01,4.061608779652e-01,9.638235710746e-01
Pa,Rb,0,-1.229288687758e-01,-1.336566763481e+00,4.393598959326e-01,4.037809346088e-01,9.290580498288e-01
Pa,S,1,-4.522543724791e-01,-5.834289655233e+00,3.251553133465e-01,3.464799456205e-01,7.094970791044e-01
