model,lam,match_score,effective_rank,alpha,K90,K95,K99,percolation_k_star,modularity_k_max,fusion_event_k,cumvar_l2_vs_real,alpha_target,eta,r_latent,cascade_sigma
M4,1.000000000000e+00,1.390404537384e+02,3.313240357320e+00,1.178272844455e+00,3,4,40,5,15,2,8.816018211644e-01,8.000000000000e+00,5.000000000000e-01,4.000000000000e+00,
M4,8.000000000000e-01,1.391174766183e+02,3.374493083150e+00,1.449349032482e+00,3,4,38,5,10,2,8.879802690223e-01,1.100000000000e+01,5.000000000000e-01,4.000000000000e+00,
M4,4.000000000000e-01,1.393853683334e+02,6.433063630809e+00,1.448670923189e+00,6,13,51,5,17,2,5.794795102488e-01,8.000000000000e+00,3.000000000000e-01,4.000000000000e+00,
M4,8.000000000000e-01,1.399874852660e+02,3.866258291818e+00,1.456564496674e+00,4,6,43,5,15,2,8.255729977991e-01,8.000000000000e+00,5.000000000000e-01,4.000000000000e+00,
M4,6.000000000000e-01,1.400415009922e+02,2.952786903351e+00,1.441233489007e+00,4,5,39,5,10,2,9.161129609298e-01,1.000000000000e+01,7.000000000000e-01,4.000000000000e+00,
M4,6.000000000000e-01,1.401898886496e+02,6.784657514814e+00,1.575602585392e+00,5,9,47,8,15,2,5.237310457048e-01,1.400000000000e+01,1.000000000000e-01,4.000000000000e+00,
M4,6.000000000000e-01,1.402458440600e+02,4.435922609931e+00,1.595622149456e+00,5,7,41,8,10,2,7.330031921072e-01,1.000000000000e+01,5.000000000000e-01,4.000000000000e+00,
M4,6.000000000000e-01,1.404757175487e+02,3.049918555915e+00,1.556779260680e+00,4,6,40,5,10,2,9.036715492842e-01,1.100000000000e+01,7.000000000000e-01,4.000000000000e+00,
M4,1.000000000000e+00,1.405523446454e+02,3.494461684968e+00,1.196922709649e+00,4,4,39,5,10,2,8.467434001420e-01,6.000000000000e+00,5.000000000000e-01,4.000000000000e+00,
M4,8.000000000000e-01,1.406148180685e+02,2.757465255558e+00,1.410357979515e+00,3,4,38,5,10,2,9.611365870588e-01,6.000000000000e+00,7.000000000000e-01,4.000000000000e+00,
M5,8.000000000000e-01,1.406719923078e+02,1.020637150342e+01,1.377434086769e+00,11,29,54,5,25,2,3.892441154355e-01,,,4.000000000000e+00,4.000000000000e-01
M4,8.000000000000e-01,1.407459440973e+02,3.501131721500e+00,1.469148539883e+00,4,5,40,5,10,2,8.585519079725e-01,1.400000000000e+01,5.000000000000e-01,4.000000000000e+00,
M4,6.000000000000e-01,1.407736491020e+02,2.769708536395e+00,1.348620100491e+00,3,5,43,5,19,2,9.601885660954e-01,8.000000000000e+00,7.000000000000e-01,4.000000000000e+00,
M4,0.000000000000e+00,1.409345094431e+02,2.133469968869e+00,1.112232198500e+00,2,5,47,5,60,2,1.049798316150e+00,1.200000000000e+01,7.000000000000e-01,4.000000000000e+00,
M4,8.000000000000e-01,1.410464345869e+02,2.592799992567e+00,1.390915196047e+00,3,4,38,5,10,2,9.831154080660e-01,1.000000000000e+01,7.000000000000e-01,4.000000000000e+00,
M4,4.000000000000e-01,1.410696103824e+02,4.762856589799e+00,1.427655045884e+00,5,10,49,5,19,2,7.198696778280e-01,6.000000000000e+00,5.000000000000e-01,4.000000000000e+00,
M4,6.000000000000e-01,1.411649472244e+02,5.947809334997e+00,1.515936390177e+00,5,7,47,5,15,2,5.849128604373e-01,1.400000000000e+01,3.000000000000e-01,4.000000000000e+00,
M4,8.000000000000e-01,1.411888457753e+02,5.881909141558e+00,1.557060179679e+00,4,6,44,8,14,2,5.926476266869e-01,1.200000000000e+01,1.000000000000e-01,4.000000000000e+00,
