symA,symB,S_cos,S_wcos,S_dot,same_group,period_distance
Ti,Cu,4.407467851776e-01,6.619129051302e-01,2.777590390421e+00,0,0.000000000000e+00
Ti,Zn,-8.149104661482e-02,3.977971178423e-01,-7.856939193811e-01,0,0.000000000000e+00
Ti,Ga,3.338943229522e-01,6.011133055677e-01,1.984995822911e+00,0,0.000000000000e+00
Ti,Ge,4.295245342386e-01,7.217913495009e-01,3.758313064455e+00,0,0.000000000000e+00
Ti,As,-1.321429419940e-01,-7.695121851919e-02,-7.987551349267e-01,0,0.000000000000e+00
Ti,Se,1.114609908557e-01,2.182663837812e-01,7.753234606396e-01,0,0.000000000000e+00
Ti,Br,-1.089599386977e-01,1.266447430554e-01,-1.219740775157e+00,0,0.000000000000e+00
Ti,Kr,-2.980093273455e-01,9.524589555070e-02,-7.153386192186e+00,0,0.000000000000e+00
Ti,Rb,3.701586655292e-01,5.460029676674e-01,2.825741647252e+00,0,1.000000000000e+00
Ti,Sr,5.098204190492e-01,7.991492549755e-01,3.557721703110e+00,0,1.000000000000e+00
Ti,Y,-4.704988750535e-02,1.779612511304e-01,-2.410324172374e+00,0,1.000000000000e+00
