condition,regime,K,participation_ratio,effective_rank,levina_bickel_mle,spectral_gap,eig1,eig2
shuffled_control,full_padded_1_60,43,1.432360593810e+01,2.110920522606e+01,1.875906308969e+01,1.831851478774e+00,6.109246054835e+00,4.277394576060e+00
shuffled_control,full_padded_1_60,44,1.432360593810e+01,2.110920522606e+01,1.875906308969e+01,1.831851478774e+00,6.109246054835e+00,4.277394576060e+00
shuffled_control,full_padded_1_60,45,1.432360593810e+01,2.110920522606e+01,1.875906308969e+01,1.831851478774e+00,6.109246054835e+00,4.277394576060e+00
shuffled_control,full_padded_1_60,46,1.432360593810e+01,2.110920522606e+01,1.875906308969e+01,1.831851478774e+00,6.109246054835e+00,4.277394576060e+00
shuffled_control,full_padded_1_60,47,1.432360593810e+01,2.110920522606e+01,1.875906308969e+01,1.831851478774e+00,6.109246054835e+00,4.277394576060e+00
shuffled_control,full_padded_1_60,48,1.432360593810e+01,2.110920522606e+01,1.875906308969e+01,1.831851478774e+00,6.109246054835e+00,4.277394576060e+00
shuffled_control,full_padded_1_60,49,1.432360593810e+01,2.110920522606e+01,1.875906308969e+01,1.831851478774e+00,6.109246054835e+00,4.277394576060e+00
shuffled_control,full_padded_1_60,50,1.432360593810e+01,2.110920522606e+01,1.875906308969e+01,1.831851478774e+00,6.109246054835e+00,4.277394576060e+00
shuffled_control,full_padded_1_60,51,1.432360593810e+01,2.110920522606e+01,1.875906308969e+01,1.831851478774e+00,6.109246054835e+00,4.277394576060e+00
shuffled_control,full_padded_1_60,52,1.432360593810e+01,2.110920522606e+01,1.875906308969e+01,1.831851478774e+00,6.109246054835e+00,4.277394576060e+00
shuffled_control,full_padded_1_60,53,1.432360593810e+01,2.110920522606e+01,1.875906308969e+01,1.831851478774e+00,6.109246054835e+00,4.277394576060e+00
shuffled_control,full_padded_1_60,54,1.432360593810e+01,2.110920522606e+01,1.875906308969e+01,1.831851478774e+00,6.109246054835e+00,4.277394576060e+00
shuffled_control,full_padded_1_60,55,1.432360593810e+01,2.110920522606e+01,1.875906308969e+01,1.831851478774e+00,6.109246054835e+00,4.277394576060e+00
shuffled_control,full_padded_1_60,56,1.432360593810e+01,2.110920522606e+01,1.875906308969e+01,1.831851478774e+00,6.109246054835e+00,4.277394576060e+00
shuffled_control,full_padded_1_60,57,1.432360593810e+01,2.110920522606e+01,1.875906308969e+01,1.831851478774e+00,6.109246054835e+00,4.277394576060e+00
shuffled_control,full_padded_1_60,58,1.432360593810e+01,2.110920522606e+01,1.875906308969e+01,1.831851478774e+00,6.109246054835e+00,4.277394576060e+00
shuffled_control,full_padded_1_60,59,1.432360593810e+01,2.110920522606e+01,1.875906308969e+01,1.831851478774e+00,6.109246054835e+00,4.277394576060e+00
shuffled_control,full_padded_1_60,60,1.432360593810e+01,2.110920522606e+01,1.875906308969e+01,1.831851478774e+00,6.109246054835e+00,4.277394576060e+00
