symbol,atomic_number,period,group,dominant_band,band_strength,spectral_entropy,concentration_ratio,spike_projection,spike_distance
Db,105,7,5,b32,1.0,-0.0,1.0,-0.242022888341657,0.9702705403745708
Dy,66,6,3,b31,596.0,0.9964487994394222,0.6273684210526316,-178.50364651278662,621.0494732158124
Er,68,6,3,b31,536.0,1.0875915353211938,0.5942350332594235,-166.78895932103796,566.2944843882952
Es,99,7,3,b10,11.0,0.2868359830561607,0.9166666666666666,-0.6096400329774894,11.028523882650441
Eu,63,6,3,b10,350.0,1.1976738619971654,0.3880266075388026,-143.81188309062745,490.3999819350809
F,9,2,17,b33,228.0,1.3362119124857943,0.4924406047516199,13.671279399245899,262.9982815905605
Fe,26,4,8,b10,6444.0,0.9171589907233998,0.5988291051017564,-577.8656148320217,7331.46536043067
Fm,100,7,3,b32,1.0,-0.0,1.0,-0.242022888341657,0.9702705403745708
Fr,87,7,1,b10,140.0,0.8998144364621894,0.5166051660516605,-34.03549692068085,179.52321562784664
Ga,31,4,13,b10,166.0,1.6171018406098023,0.3132075471698113,-37.64855384699325,252.81334298891358
Gd,64,6,3,b31,468.0,1.118621893077712,0.4751269035532995,-157.93344248181307,587.6904182865702
Ge,32,4,14,b32,611.0,0.8130851968102117,0.7239336492890995,-158.42303145405236,613.8958731779423
H,1,1,1,b10,174.0,1.846630782573097,0.2838499184339315,-1.3388480841853267,266.6518469574277
He,2,1,18,b09,1033.0,1.386663445107004,0.3332258064516129,-230.39396519131273,1638.1161804961896
Hf,72,6,4,b32,172.0,1.0162984631202718,0.5180722891566265,-79.46631527227125,200.1227241895532
Hg,80,6,12,b10,477.0,1.2851806971127997,0.4862385321100917,7.65136457662102,567.8771492322223
Ho,67,6,3,b10,282.0,1.0611677078149702,0.55078125,-63.7789313049954,320.2627794820882
Hs,108,7,8,b32,1.0,-0.0,1.0,-0.242022888341657,0.9702705403745708
I,53,5,17,b09,743.0,1.0962998031147002,0.4484007242003621,-51.53867190504832,1022.7320104984805
In,49,5,13,b32,87.0,1.287875488512866,0.4285714285714285,-29.017048693786435,111.89732295771167
Ir,77,6,9,b10,402.0,0.9761033928722824,0.6442307692307693,-66.67908848298515,428.0115642819458
K,19,4,1,b11,406.0,1.7398963516563843,0.4375,-69.28239312918336,464.14432023056503
Kr,36,4,18,b33,502.0,1.362274808868336,0.3637681159420289,37.72737466410655,747.8801008189441
La,57,6,3,b10,291.0,1.2022338075786951,0.4656,-89.03047573913143,367.51132552570937
Li,3,2,1,b10,145.0,2.225149613526739,0.2761904761904762,-45.73267406131362,191.10605046204492
Lr,103,7,3,b31,1.0,-0.0,1.0,-0.23744163330489262,0.9714018070672428
Lu,71,6,3,b10,133.0,1.2630443722279758,0.4006024096385542,-52.22681362287591,178.88085403083636
Md,101,7,3,b32,1.0,-0.0,1.0,-0.242022888341657,0.9702705403745708
Mg,12,3,2,b10,237.0,1.7801318454678094,0.2900856793145654,-66.44969427905752,366.6598398109885
Mn,25,4,7,b32,488.0,0.9066839602276362,0.5761511216056671,-142.9623380675706,555.3474316986202
Mo,42,5,6,b10,818.0,0.9383053723010776,0.657556270096463,-129.59229621427983,861.4719013188476
N,7,2,15,b33,328.0,1.1536345083024653,0.6368932038834951,34.06760022490375,341.7314715019911
Na,11,3,1,b11,303.0,1.8331230440589348,0.2370892018779342,-13.568457402222071,536.6823054319232
Nb,41,5,5,b10,508.0,0.0142072004996999,0.9980353634577604,-17.022861920492854,507.7156902953028
Nd,60,6,3,b31,435.0,1.1748775112910308,0.5259975816203144,-171.40967213878395,474.5289499042968
Ne,10,2,18,b10,820.0,1.2288244881301404,0.4177279673968416,-114.99697848168289,1119.0141620820011
Ni,28,4,10,b10,243.0,1.0394586075447174,0.4584905660377358,-77.7047676398531,329.7422767648037
No,102,7,3,b32,1.0,-0.0,1.0,-0.242022888341657,0.9702705403745708
Np,93,7,3,b10,78.0,0.5350204617619485,0.8041237113402062,-3.67017079644423,79.9720566593415
O,8,2,16,b33,439.0,1.2493590637500012,0.5814569536423841,29.83972531769984,471.04414951569476
Os,76,6,8,b10,534.0,0.9549872338735308,0.6750948166877371,-79.43308184780076,556.5100048589967
