symbol,atomic_number,pc1,pc2,pc3,name,period,group,electronegativity_pauling,ionization_energy_1,atomic_radius,source_note,block
Pd,46,-0.2862569992915766,-0.6955473339573539,-0.8486103986465553,Palladium,5,10.0,2.2,8.337020639190962,169.0,Bluegrams periodic-table-data CSV,d
Pm,61,1.4706706777201295,0.9073880396532572,0.374666278753378,Promethium,6,,1.13,5.596707042718946,205.0,Bluegrams periodic-table-data CSV,f
Po,84,-0.2435681792553093,-0.6675595444694007,-0.8295787179369873,Polonium,6,16.0,2.0,8.416825535911215,135.0,Bluegrams periodic-table-data CSV,p
Pr,59,3.275378398726009,2.6925649249223365,1.874365872333812,Praseodymium,6,,1.13,5.461971502801638,247.0,Bluegrams periodic-table-data CSV,f
Pt,78,0.3559834349660004,-0.2356491466395955,-0.6730518574911142,Platinum,6,10.0,2.28,9.016916902158302,177.0,Bluegrams periodic-table-data CSV,d
Pu,94,-0.2823752986136221,-0.6910346337620814,-0.847147548417867,Plutonium,7,,1.28,6.059990014588458,,Bluegrams periodic-table-data CSV,f
Ra,88,-0.1701255342731208,-0.6076709374290191,-0.7746505935580852,Radium,7,2.0,0.9,5.278523883068073,,Bluegrams periodic-table-data CSV,s
Rb,37,0.0551407325789938,-0.3820830614513996,-0.5294037892462866,Rubidium,5,1.0,0.82,4.176801737436547,265.0,Bluegrams periodic-table-data CSV,s
Re,75,0.0453302289634718,-0.4827493696697412,-0.7027221648194124,Rhenium,6,7.0,1.9,7.876846949011849,188.0,Bluegrams periodic-table-data CSV,d
Rf,104,-0.2906310389899509,-0.7002749239761714,-0.8506480249009609,Rutherfordium,7,4.0,,6.011277934772201,,Bluegrams periodic-table-data CSV,d
Rh,45,1.2238092387945974,0.6954598253941434,0.2104886169217575,Rhodium,5,9.0,2.28,7.459166775268195,173.0,Bluegrams periodic-table-data CSV,d
Rn,86,-0.3387807844680868,-0.7330649993082881,-0.9027773486143312,Radon,6,18.0,2.2,10.747750376480642,120.0,Bluegrams periodic-table-data CSV,p
